ID ML    M0(Nm)     M0_conf       fc(Hz)    fc_conf     
01 1.1  0.96e11 0.78e11 1.17e11    43.80  33.29 57.63    
02 3.5  1.73e14 1.11e14 2.68e14     6.92   4.77 10.03   
02 3.5  1.72e14 1.35e14 2.19e14    10.91   9.91 12.00   
03 2.3  1.53e12 1.31e12 1.79e12    20.74  17.46 24.63   
04 2.3  1.36e12 1.00e12 1.85e12    21.66  18.74 25.02  
