#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
1B|5T596|32.760502|-100.536903|620.5|209596|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T599|32.761101|-100.537102|616.4|209599|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T602|32.7617|-100.5373|610.5|209602|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T605|32.762299|-100.537498|614.5|209605|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T608|32.762901|-100.537598|614.2|209608|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T611|32.7635|-100.537804|613.2|209611|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T617|32.764702|-100.538101|611.7|209617|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T620|32.765202|-100.5383|612.8|209620|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T623|32.7658|-100.538498|615.8|209623|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T626|32.766399|-100.538597|610.9|209626|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T629|32.766998|-100.538803|611.6|209629|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T632|32.767601|-100.539001|609.1|209632|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T635|32.7682|-100.539101|613.4|209635|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T638|32.768799|-100.539299|610.7|209638|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T641|32.769402|-100.539497|609.9|209641|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5T644|32.769901|-100.539703|601.4|209644|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V536|32.749199|-100.531502|633.5|211536|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V539|32.749802|-100.5317|639.2|211539|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V542|32.750401|-100.531799|634.6|211542|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V545|32.750999|-100.531998|636.3|211545|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V548|32.751598|-100.532204|632.3|211548|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V551|32.752201|-100.532303|630.3|211551|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V554|32.752701|-100.532501|632.4|211554|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V557|32.7533|-100.5327|632.6|211557|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V560|32.753899|-100.532799|631.5|211560|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V563|32.754501|-100.532997|629.3|211563|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V566|32.7551|-100.533203|627.5|211566|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V569|32.755699|-100.533302|625.3|211569|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V572|32.756302|-100.533501|626.0|211572|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V575|32.756901|-100.533699|626.5|211575|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V578|32.757401|-100.533798|630.6|211578|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V581|32.757999|-100.533997|624.7|211581|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V584|32.758598|-100.534203|627.7|211584|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V587|32.759201|-100.534401|622.7|211587|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V590|32.7598|-100.5345|623.2|211590|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V593|32.760399|-100.534698|620.2|211593|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V596|32.761002|-100.534897|618.8|211596|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V599|32.7616|-100.535004|617.1|211599|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V602|32.7621|-100.535202|617.4|211602|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V605|32.762699|-100.5354|617.4|211605|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V608|32.763302|-100.5355|612.9|211608|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V611|32.763901|-100.535698|612.7|211611|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V614|32.7645|-100.535896|611.6|211614|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V617|32.765099|-100.536003|610.5|211617|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V620|32.765701|-100.536201|610.8|211620|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V623|32.7663|-100.5364|610.1|211623|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V626|32.7668|-100.536598|617.6|211626|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V629|32.767399|-100.536697|609.6|211629|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V632|32.768002|-100.536903|612.2|211632|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V635|32.7686|-100.537102|609.9|211635|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V638|32.769199|-100.537201|609.8|211638|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V641|32.769798|-100.537399|609.6|211641|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5V644|32.770401|-100.537598|608.9|211644|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X536|32.749599|-100.529404|633.3|213536|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X539|32.750198|-100.529602|631.9|213539|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X542|32.750801|-100.529701|630.0|213542|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X545|32.7514|-100.5299|628.9|213545|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X548|32.751999|-100.530098|627.7|213548|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X551|32.752602|-100.530197|627.0|213551|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X554|32.753201|-100.530403|627.3|213554|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X557|32.753799|-100.530602|628.0|213557|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X560|32.754299|-100.530701|627.2|213560|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X563|32.754902|-100.530899|626.7|213563|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X566|32.755501|-100.531097|624.5|213566|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X569|32.7561|-100.531303|624.2|213569|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X572|32.756699|-100.531403|622.7|213572|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X575|32.757301|-100.531601|621.2|213575|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X578|32.7579|-100.531799|621.1|213578|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X581|32.758499|-100.531898|622.7|213581|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X584|32.758999|-100.532097|622.1|213584|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X587|32.759602|-100.532303|621.1|213587|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X590|32.760201|-100.532501|618.4|213590|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X593|32.760799|-100.5326|620.2|213593|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X596|32.761398|-100.532799|617.3|213596|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X599|32.762001|-100.532997|616.8|213599|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X602|32.7626|-100.533096|615.6|213602|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X605|32.763199|-100.533302|614.1|213605|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X608|32.763699|-100.533501|612.1|213608|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X611|32.764301|-100.5336|612.6|213611|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X614|32.7649|-100.533798|611.6|213614|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X617|32.765499|-100.533997|610.3|213617|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X620|32.766102|-100.534103|611.3|213620|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X623|32.766701|-100.534302|610.5|213623|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X626|32.7673|-100.5345|611.0|213626|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X629|32.767899|-100.534599|610.2|213629|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X632|32.768398|-100.534798|610.1|213632|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X635|32.769001|-100.535004|609.6|213635|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X638|32.7696|-100.535202|610.7|213638|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X641|32.770199|-100.5354|610.6|213641|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5X644|32.770802|-100.535599|608.1|213644|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z395|32.7225|-100.519402|616.3|215395|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z398|32.723|-100.519501|614.8|215398|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z401|32.723598|-100.519699|621.4|215401|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z404|32.724201|-100.519897|621.9|215404|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z407|32.7248|-100.520103|622.7|215407|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z410|32.725399|-100.520203|622.5|215410|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z413|32.726002|-100.520401|623.5|215413|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z416|32.726601|-100.520599|623.4|215416|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z419|32.7272|-100.520699|621.3|215419|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z422|32.727699|-100.520897|618.4|215422|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z425|32.728298|-100.521103|624.4|215425|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z428|32.728901|-100.521202|626.5|215428|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z431|32.7295|-100.5214|625.3|215431|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
1B|5Z434|32.730099|-100.521599|623.3|215434|2014-01-01T00:00:00.0000|2014-12-12T23:59:59.0000
